surface,data,sensor,time
1,0,1,648.00
1,0,2,656.00
1,0,3,656.00
1,0,4,660.00
1,0,5,656.00
1,1,1,656.00
1,1,2,664.00
1,1,3,660.00
1,1,4,656.00
1,1,5,652.00
1,2,1,652.00
1,2,2,652.00
1,2,3,656.00
1,2,4,656.00
1,2,5,652.00
1,3,1,652.00
1,3,2,656.00
1,3,3,656.00
1,3,4,660.00
1,3,5,656.00
1,4,1,652.00
1,4,2,656.00
1,4,3,664.00
1,4,4,656.00
1,4,5,656.00
1,5,1,656.00
1,5,2,660.00
1,5,3,656.00
1,5,4,656.00
1,5,5,656.00
1,6,1,652.00
1,6,2,660.00
1,6,3,656.00
1,6,4,656.00
1,6,5,652.00
1,7,1,652.00
1,7,2,664.00
1,7,3,660.00
1,7,4,656.00
1,7,5,652.00
1,8,1,656.00
1,8,2,664.00
1,8,3,656.00
1,8,4,656.00
1,8,5,656.00
1,9,1,652.00
1,9,2,656.00
1,9,3,656.00
1,9,4,664.00
1,9,5,660.00
1,10,1,652.00
1,10,2,656.00
1,10,3,656.00
1,10,4,656.00
1,10,5,656.00
1,11,1,652.00
1,11,2,652.00
1,11,3,664.00
1,11,4,656.00
1,11,5,656.00
1,12,1,652.00
1,12,2,664.00
1,12,3,656.00
1,12,4,656.00
1,12,5,656.00
1,13,1,648.00
1,13,2,656.00
1,13,3,664.00
1,13,4,660.00
1,13,5,656.00
1,14,1,652.00
1,14,2,656.00
1,14,3,652.00
1,14,4,660.00
1,14,5,660.00
1,15,1,652.00
1,15,2,656.00
1,15,3,664.00
1,15,4,656.00
1,15,5,656.00
1,16,1,656.00
1,16,2,656.00
1,16,3,656.00
1,16,4,664.00
1,16,5,664.00
1,17,1,648.00
1,17,2,656.00
1,17,3,660.00
1,17,4,656.00
1,17,5,656.00
1,18,1,652.00
1,18,2,656.00
1,18,3,664.00
1,18,4,664.00
1,18,5,656.00
1,19,1,652.00
1,19,2,664.00
1,19,3,660.00
1,19,4,704.00
1,19,5,660.00
1,20,1,652.00
1,20,2,656.00
1,20,3,656.00
1,20,4,656.00
1,20,5,660.00
1,21,1,656.00
1,21,2,660.00
1,21,3,656.00
1,21,4,656.00
1,21,5,672.00
1,22,1,656.00
1,22,2,656.00
1,22,3,660.00
1,22,4,656.00
1,22,5,656.00
1,23,1,656.00
1,23,2,656.00
1,23,3,656.00
1,23,4,656.00
1,23,5,660.00
1,24,1,652.00
1,24,2,660.00
1,24,3,660.00
1,24,4,660.00
1,24,5,660.00
1,25,1,652.00
1,25,2,660.00
1,25,3,660.00
1,25,4,656.00
1,25,5,652.00
1,26,1,652.00
1,26,2,660.00
1,26,3,660.00
1,26,4,656.00
1,26,5,656.00
1,27,1,656.00
1,27,2,656.00
1,27,3,656.00
1,27,4,656.00
1,27,5,660.00
1,28,1,652.00
1,28,2,660.00
1,28,3,656.00
1,28,4,656.00
1,28,5,660.00
1,29,1,652.00
1,29,2,656.00
1,29,3,656.00
1,29,4,656.00
1,29,5,656.00
1,30,1,656.00
1,30,2,656.00
1,30,3,656.00
1,30,4,656.00
1,30,5,660.00
1,31,1,656.00
1,31,2,656.00
1,31,3,656.00
1,31,4,660.00
1,31,5,676.00
1,32,1,656.00
1,32,2,672.00
1,32,3,656.00
1,32,4,660.00
1,32,5,664.00
1,33,1,652.00
1,33,2,656.00
1,33,3,656.00
1,33,4,656.00
1,33,5,660.00
1,34,1,652.00
1,34,2,656.00
1,34,3,656.00
1,34,4,660.00
1,34,5,660.00
1,35,1,656.00
1,35,2,652.00
1,35,3,660.00
1,35,4,656.00
1,35,5,656.00
1,36,1,652.00
1,36,2,660.00
1,36,3,660.00
1,36,4,660.00
1,36,5,656.00
1,37,1,656.00
1,37,2,656.00
1,37,3,676.00
1,37,4,656.00
1,37,5,656.00
1,38,1,652.00
1,38,2,656.00
1,38,3,660.00
1,38,4,656.00
1,38,5,660.00
1,39,1,652.00
1,39,2,652.00
1,39,3,664.00
1,39,4,652.00
1,39,5,660.00
1,40,1,652.00
1,40,2,656.00
1,40,3,664.00
1,40,4,656.00
1,40,5,660.00
1,41,1,656.00
1,41,2,656.00
1,41,3,660.00
1,41,4,660.00
1,41,5,660.00
