surface,data,sensor,time
1,0,1,816
1,0,2,576
1,0,3,520
1,0,4,548
1,0,5,784
1,1,1,816
1,1,2,580
1,1,3,516
1,1,4,552
1,1,5,788
1,2,1,812
1,2,2,576
1,2,3,520
1,2,4,552
1,2,5,788
1,3,1,816
1,3,2,576
1,3,3,520
1,3,4,552
1,3,5,784
1,4,1,816
1,4,2,580
1,4,3,520
1,4,4,552
1,4,5,788
1,5,1,820
1,5,2,576
1,5,3,520
1,5,4,552
1,5,5,788
1,6,1,816
1,6,2,580
1,6,3,520
1,6,4,556
1,6,5,784
1,7,1,816
1,7,2,580
1,7,3,520
1,7,4,552
1,7,5,784
1,8,1,816
1,8,2,580
1,8,3,520
1,8,4,552
1,8,5,788
1,9,1,820
1,9,2,584
1,9,3,520
1,9,4,552
1,9,5,788
1,10,1,816
1,10,2,580
1,10,3,520
1,10,4,556
1,10,5,788
1,11,1,820
1,11,2,576
1,11,3,520
1,11,4,552
1,11,5,788
1,12,1,820
1,12,2,580
1,12,3,520
1,12,4,552
1,12,5,792
1,13,1,816
1,13,2,580
1,13,3,520
1,13,4,552
1,13,5,792
1,14,1,820
1,14,2,580
1,14,3,520
1,14,4,556
1,14,5,784
1,15,1,816
1,15,2,580
1,15,3,520
1,15,4,552
1,15,5,792
1,16,1,820
1,16,2,584
1,16,3,520
1,16,4,552
1,16,5,788
1,17,1,816
1,17,2,580
1,17,3,520
1,17,4,552
1,17,5,788
1,18,1,820
1,18,2,576
1,18,3,520
1,18,4,556
1,18,5,788
1,19,1,816
1,19,2,580
1,19,3,520
1,19,4,552
1,19,5,788
1,20,1,816
1,20,2,584
1,20,3,516
1,20,4,552
1,20,5,788
1,21,1,816
1,21,2,580
1,21,3,520
1,21,4,556
1,21,5,788
1,22,1,820
1,22,2,580
1,22,3,520
1,22,4,552
1,22,5,788
1,23,1,820
1,23,2,580
1,23,3,528
1,23,4,552
1,23,5,788
1,24,1,816
1,24,2,580
1,24,3,520
1,24,4,552
1,24,5,788
1,25,1,820
1,25,2,580
1,25,3,520
1,25,4,556
1,25,5,788
1,26,1,816
1,26,2,580
1,26,3,532
1,26,4,556
1,26,5,788
1,27,1,820
1,27,2,580
1,27,3,524
1,27,4,552
1,27,5,804
1,28,1,816
1,28,2,580
1,28,3,520
1,28,4,556
1,28,5,788
1,29,1,820
1,29,2,580
1,29,3,524
1,29,4,552
1,29,5,788
1,30,1,816
1,30,2,580
1,30,3,520
1,30,4,556
1,30,5,788
1,31,1,820
1,31,2,580
1,31,3,520
1,31,4,556
1,31,5,788
1,32,1,816
1,32,2,580
1,32,3,520
1,32,4,552
1,32,5,788
1,33,1,820
1,33,2,580
1,33,3,524
1,33,4,552
1,33,5,788
1,34,1,820
1,34,2,580
1,34,3,520
1,34,4,556
1,34,5,788
1,35,1,816
1,35,2,592
1,35,3,520
1,35,4,552
1,35,5,788
1,36,1,820
1,36,2,580
1,36,3,520
1,36,4,552
1,36,5,792
1,37,1,820
1,37,2,580
1,37,3,520
1,37,4,556
1,37,5,788
1,38,1,816
