surface,data,sensor,time
1,0,1,700
1,0,2,496
1,0,3,432
1,0,4,480
1,0,5,672
1,1,1,700
1,1,2,492
1,1,3,436
1,1,4,484
1,1,5,676
1,2,1,704
1,2,2,496
1,2,3,436
1,2,4,484
1,2,5,672
1,3,1,704
1,3,2,492
1,3,3,432
1,3,4,484
1,3,5,672
1,4,1,700
1,4,2,492
1,4,3,436
1,4,4,484
1,4,5,676
1,5,1,700
1,5,2,492
1,5,3,436
1,5,4,480
1,5,5,676
1,6,1,704
1,6,2,496
1,6,3,440
1,6,4,484
1,6,5,672
1,7,1,700
1,7,2,496
1,7,3,432
1,7,4,484
1,7,5,676
1,8,1,700
1,8,2,496
1,8,3,436
1,8,4,484
1,8,5,676
1,9,1,704
1,9,2,496
1,9,3,432
1,9,4,480
1,9,5,672
1,10,1,700
1,10,2,492
1,10,3,436
1,10,4,484
1,10,5,676
1,11,1,704
1,11,2,492
1,11,3,436
1,11,4,484
1,11,5,672
1,12,1,704
1,12,2,496
1,12,3,436
1,12,4,480
1,12,5,672
1,13,1,704
1,13,2,496
1,13,3,436
1,13,4,484
1,13,5,676
1,14,1,704
1,14,2,504
1,14,3,436
1,14,4,484
1,14,5,676
1,15,1,704
1,15,2,492
1,15,3,436
1,15,4,492
1,15,5,676
1,16,1,704
1,16,2,496
1,16,3,436
1,16,4,484
1,16,5,676
1,17,1,704
1,17,2,492
1,17,3,436
1,17,4,484
1,17,5,672
1,18,1,704
1,18,2,496
1,18,3,432
1,18,4,484
1,18,5,672
1,19,1,704
1,19,2,496
1,19,3,432
1,19,4,484
1,19,5,676
1,20,1,704
1,20,2,492
1,20,3,436
1,20,4,484
1,20,5,672
1,21,1,704
1,21,2,492
1,21,3,436
1,21,4,484
1,21,5,676
1,22,1,704
1,22,2,496
1,22,3,432
1,22,4,484
1,22,5,676
1,23,1,704
1,23,2,496
1,23,3,436
1,23,4,484
1,23,5,676
1,24,1,704
1,24,2,496
1,24,3,436
1,24,4,484
1,24,5,676
1,25,1,704
1,25,2,492
1,25,3,444
1,25,4,484
1,25,5,688
1,26,1,704
1,26,2,496
1,26,3,436
1,26,4,484
1,26,5,672
1,27,1,704
1,27,2,496
1,27,3,432
1,27,4,484
1,27,5,676
1,28,1,700
1,28,2,496
1,28,3,436
1,28,4,484
1,28,5,672
1,29,1,704
1,29,2,496
1,29,3,436
1,29,4,488
1,29,5,676
1,30,1,704
1,30,2,496
1,30,3,436
1,30,4,484
1,30,5,672
1,31,1,704
1,31,2,496
1,31,3,436
1,31,4,484
1,31,5,680
1,32,1,704
1,32,2,492
1,32,3,436
1,32,4,484
1,32,5,676
1,33,1,704
1,33,2,492
1,33,3,436
1,33,4,484
1,33,5,676
1,34,1,704
1,34,2,496
1,34,3,436
1,34,4,484
1,34,5,676
1,35,1,704
1,35,2,504
1,35,3,436
1,35,4,484
1,35,5,676
1,36,1,704
1,36,2,496
1,36,3,436
1,36,4,492
1,36,5,676
1,37,1,704
1,37,2,496
1,37,3,436
1,37,4,484
1,37,5,676
1,38,1,708
1,38,2,496
1,38,3,440
1,38,4,484
1,38,5,676
1,39,1,704
1,39,2,496
1,39,3,440
1,39,4,484
1,39,5,672
