surface,data,sensor,time
1,0,1,920
1,0,2,680
1,0,3,612
1,0,4,668
1,0,5,904
1,1,1,920
1,1,2,676
1,1,3,612
1,1,4,668
1,1,5,900
1,2,1,924
1,2,2,676
1,2,3,608
1,2,4,668
1,2,5,900
1,3,1,924
1,3,2,676
1,3,3,612
1,3,4,672
1,3,5,900
1,4,1,924
1,4,2,676
1,4,3,612
1,4,4,668
1,4,5,900
1,5,1,924
1,5,2,680
1,5,3,620
1,5,4,668
1,5,5,900
1,6,1,924
1,6,2,680
1,6,3,612
1,6,4,668
1,6,5,896
1,7,1,920
1,7,2,676
1,7,3,608
1,7,4,672
1,7,5,900
1,8,1,924
1,8,2,676
1,8,3,612
1,8,4,668
1,8,5,900
1,9,1,924
1,9,2,680
1,9,3,608
1,9,4,668
1,9,5,896
1,10,1,924
1,10,2,676
1,10,3,612
1,10,4,684
1,10,5,900
1,11,1,920
1,11,2,680
1,11,3,612
1,11,4,672
1,11,5,900
1,12,1,928
1,12,2,676
1,12,3,612
1,12,4,668
1,12,5,900
1,13,1,924
1,13,2,680
1,13,3,612
1,13,4,672
1,13,5,900
1,14,1,920
1,14,2,680
1,14,3,612
1,14,4,672
1,14,5,920
1,15,1,940
1,15,2,692
1,15,3,612
1,15,4,672
1,15,5,900
1,16,1,928
1,16,2,680
1,16,3,612
1,16,4,672
1,16,5,900
1,17,1,924
1,17,2,676
1,17,3,612
1,17,4,672
1,17,5,900
1,18,1,924
1,18,2,680
1,18,3,612
1,18,4,668
1,18,5,900
1,19,1,924
1,19,2,680
1,19,3,612
1,19,4,672
1,19,5,904
1,20,1,924
1,20,2,680
1,20,3,612
1,20,4,672
1,20,5,900
1,21,1,924
1,21,2,680
1,21,3,612
1,21,4,672
1,21,5,900
1,22,1,928
1,22,2,680
1,22,3,608
1,22,4,668
1,22,5,904
1,23,1,928
1,23,2,680
1,23,3,608
1,23,4,672
1,23,5,900
1,24,1,924
1,24,2,676
1,24,3,612
1,24,4,668
1,24,5,900
1,25,1,924
1,25,2,680
1,25,3,608
1,25,4,672
1,25,5,900
1,26,1,924
1,26,2,680
1,26,3,608
1,26,4,672
1,26,5,900
1,27,1,928
1,27,2,680
1,27,3,612
1,27,4,668
1,27,5,900
1,28,1,924
1,28,2,676
1,28,3,612
1,28,4,668
1,28,5,900
1,29,1,924
1,29,2,672
1,29,3,616
1,29,4,668
1,29,5,900
1,30,1,924
1,30,2,680
1,30,3,612
1,30,4,672
1,30,5,904
1,31,1,924
1,31,2,680
1,31,3,612
1,31,4,672
1,31,5,900
1,32,1,928
1,32,2,680
1,32,3,612
1,32,4,672
1,32,5,900
1,33,1,928
1,33,2,680
1,33,3,612
1,33,4,668
1,33,5,908
1,34,1,944
1,34,2,676
1,34,3,612
1,34,4,672
1,34,5,900
1,35,1,924
1,35,2,676
1,35,3,612
1,35,4,672
1,35,5,904
1,36,1,924
1,36,2,680
1,36,3,612
1,36,4,668
1,36,5,900
1,37,1,928
1,37,2,680
1,37,3,612
1,37,4,684
1,37,5,900
1,38,1,928
1,38,2,680
1,38,3,612
1,38,4,672
1,38,5,900
1,39,1,928
1,39,2,680
1,39,3,612
1,39,4,672
1,39,5,900
1,40,1,924
1,40,2,676
1,40,3,612
1,40,4,668
1,40,5,900
1,41,1,940
1,41,2,692
1,41,3,612
1,41,4,672
1,41,5,904
1,42,1,924
1,42,2,680
1,42,3,612
1,42,4,672
1,42,5,904
1,43,1,924
1,43,2,680
1,43,3,612
1,43,4,668
1,43,5,904
1,44,1,928
1,44,2,680
1,44,3,608
1,44,4,668
1,44,5,900
1,45,1,928
1,45,2,680
1,45,3,612
1,45,4,672
1,45,5,904
1,46,1,924
1,46,2,680
1,46,3,616
1,46,4,672
1,46,5,904
1,47,1,924
1,47,2,680
